"Data Source","World Development Indicators","Last Updated Date","2023-10-26",
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109.76589044914","108.66017325129","107.612654729624","106.607227704864","106.79863545871","103.858064247583","102.293952890269","100.582955094366","98.2065569432391","95.6368139180442","92.8663646919217","89.7197663529936","86.5203916539306","83.2190133902069","79.9355477219814","76.819332150914","73.9547697094217","71.1317505524272","68.3774289373896","65.9224232033396","63.6361066050265","61.4336984381269","59.3983103684017","57.5354102941414","55.8547752034178","54.258336057129","52.7716197806722","51.2585264010975","49.7966647944955","48.4921944258095","47.3564774499361","46.2131020243132","",
"Afghanistan","AFG","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","239.5","235.5","231.5","227.3","223.1","219.3","215.2","211.3","207.3","203.5","199.2","195.3","191.3","187.1","182.8","178.4","174.3","169.8","165.3","160.8","156.3","152","147.8","143.5","139.1","134.8","130.6","126.4","122.6","118.9","115.6","112.4","109.3","106.6","103.8","101.1","98.5","95.7","93","90.1","87.4","84.6","81.7","78.9","76.1","73.3","70.5","67.8","65.3","62.9","60.6","58.4","56.3","54.4","52.6","51","49.4","47.9","46.5","",
"Africa Western and Central","AFW","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","122.556313310875","121.647537872367","120.817813903762","119.93498944595","118.964988184674","117.694250475445","116.151670165778","114.154085679092","112.117700319068","109.680247177381","106.967119257049","104.348449413923","101.638705051636","98.9704594228842","96.3001575968326","93.6104493948106","91.0822510363225","88.5825822932821","86.2969686319011","84.239383231951","82.2702076796176","80.6169638170808","79.0558999425398","77.6233151597528","76.3318704083212","75.0427166754872","73.6157054887161","72.3167664114671","70.8086135630066","69.2833907012263","67.8043852800821","66.2799784238559","",
"Angola","AGO","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","","","","","150.8","149.1","147.5","145.9","144.3","143.2","142.5","142","141.7","141.4","141.3","141.4","141.4","141.6","141.6","141.3","140.5","139.1","137.1","134.5","131.6","128.1","124.1","119.7","114.9","109.9","104.5","98.9","93.5","88.2","83.2","78.4","74.1","70","66.7","63.8","61.4","59.4","57.5","55.7","53.8","52.2","",
"Albania","ALB","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","","","85.1","79","73.5","68.4","63.7","59.5","55.7","52.3","49.1","46.4","44","42","40.2","38.7","37.2","36","34.8","33.7","32.6","31.4","30.2","28.9","27.6","26.4","25","23.6","22.2","20.7","19.2","17.6","16.1","14.7","13.4","12.2","11.1","10.3","9.8","9.4","9.2","9.1","9.1","9.2","9.2","9.2","",
"Andorra","AND","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","11.4","11.2","10.9","10.8","10.5","10.2","10","9.7","9.5","9.1","8.8","8.5","8.2","7.9","7.6","7.3","7","6.8","6.5","6.3","6","5.7","5.4","5.2","5","4.7","4.5","4.3","4.1","3.9","3.7","3.5","3.4","3.2","3.1","3","2.9","",
"Arab World","ARB","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.7976870500081","61.152933182635","59.2278071277623","57.563373344284","56.0980790286586","54.7216405123667","53.2235076479749","51.7729703003039","50.3052722207459","48.8578096403469","47.3903604987502","45.8859019054643","44.5104851859294","43.156834192628","41.8664063119879","40.6262212382172","39.4099781229127","38.0583828454629","36.8396119697325","35.6754535141231","34.5847711365363","33.6924576692264","33.1650313671219","32.575093877724","31.942231168545","31.3519823750134","30.9682374411859","30.1963140921611","29.7815971050821","29.2764465275956","28.6577089391607","28.3231448659012","",
"United Arab Emirates","ARE","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","145.1","138.1","131.6","125","118.4","111.6","104.6","97.5","90.6","83.8","77.2","71.1","65.4","60.2","55.5","51","46.7","42.7","38.9","35.5","32.4","29.7","27.3","25.2","23.3","21.8","20.3","19.1","17.9","16.9","16","15.2","14.4","13.7","13.2","12.6","12.2","11.7","11.4","11","10.7","10.4","10.1","9.9","9.6","9.4","9.2","9","8.7","8.5","8.2","8","7.8","7.6","7.4","7.2","7","6.8","6.6","6.4","6.2","6","",
"Argentina","ARG","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","63.1","62.5","62","61.2","60.3","58.8","56.8","54.2","50.9","47.3","44","40.8","37.7","35.3","33.3","31.2","29.9","28.9","28.5","28.5","28.4","28.1","27.7","26.9","26","25","23.9","23","21.9","21.1","20.2","19.5","18.7","18","17.4","16.9","16.4","15.9","15.5","15.1","14.8","14.3","13.7","13.1","12.5","11.9","11.4","10.8","10.1","9.5","8.7","7.8","6.9","",
"Armenia","ARM","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","76.4","73.8","71.2","68.6","66.2","63.9","61.6","59.5","57.4","55.4","53.5","51.6","63.3","47.9","46.1","44.3","42.5","40.7","39","37.3","35.7","34.1","32.6","31.1","29.7","28.4","27.1","25.8","24.6","23.4","22.3","21.2","20.1","19.2","18.2","17.3","16.5","15.7","14.9","14.2","13.5","12.8","12.2","11.6","11","10.5","",
"American Samoa","ASM","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","66.5","62.2","57.6","52.7","47.8","43.1","38.6","34.6","31.1","28.1","25.5","23.4","21.8","20.4","19.2","18.1","17.1","16.1","15.2","14.3","13.6","12.9","12.4","12","11.7","11.6","11.5","11.6","11.7","11.8","12.1","12.4","12.7","13.1","13.4","13.7","14","14.1","14.1","14","13.7","13.4","13","12.6","12","11.6","11","10.5","10","9.5","9","8.6","8.1","7.7","7.3","7","6.7","6.4","6.2","6","5.7","5.5","",
"Australia","AUS","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","22.7","22.2","21.8","21.3","20.9","20.6","20.5","20.4","20.4","20.3","20.1","19.6","19","18.2","17.2","16.2","15.1","14.1","13.3","12.6","12.1","11.6","11.2","11","10.7","10.4","10.2","9.8","9.4","9","8.5","8","7.5","7.1","6.7","6.4","6.2","6","5.9","5.8","5.6","5.5","5.5","5.4","5.3","5.2","5.1","5","4.8","4.6","4.4","4.2","3.9","3.8","3.6","3.5","3.5","3.5","3.5","3.5","3.5","3.4","",
"Austria","AUT","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","41.6","39.1","36.7","34.8","33.2","31.8","30.8","29.8","29.1","28.7","28.4","28.1","27.4","26.3","24.6","22.4","20.4","18.7","17.5","16.5","15.7","15","14.3","13.6","12.8","12.1","11.3","10.6","9.9","9.3","8.9","8.5","8","7.4","6.8","6.3","5.8","5.5","5.2","5.1","5","5","4.9","4.8","4.6","4.5","4.3","4.2","4.1","4","3.9","3.8","3.6","3.5","3.4","3.3","3.2","3.2","3.2","3.2","3.2","3.2","",
"Azerbaijan","AZE","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","","","","","","","91.9","90","88.3","86.6","85.2","83.9","82.9","82.1","81.7","81.9","82.1","82.2","81.7","80.7","78.9","76.5","73.3","69.7","65.7","61.7","57.8","54.1","50.8","47.8","45","42.4","40","37.6","35.4","33.2","31.1","29.1","27.3","25.5","23.8","22.3","21","19.9","19","18.2","",
"Burundi","BDI","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","152.1","153.3","154.6","155.8","156.8","157.5","158.3","158.8","174.2","159.3","159.4","159.2","158.5","156.7","153.5","148.8","143","136.8","130.4","124.3","119","115.1","112.5","111.2","110.9","111.3","112.1","112.6","113.2","118.1","113.2","112.6","111.6","110","107.8","105.5","102.7","99.8","96.8","93.5","89.9","85.9","81.6","77.3","73.1","69.2","65.6","62.2","59","56","53.4","51.2","49.2","47.4","45.9","44.4","43","41.7","",
"Belgium","BEL","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","33.1","31.6","30.2","29.1","28","26.9","26.1","25.4","24.8","24.2","23.4","22.4","21.2","20","18.8","17.8","16.9","16","15.3","14.5","13.9","13.4","12.7","12.1","11.6","11.2","10.9","10.5","10.2","9.9","9.5","9.2","8.8","8.3","7.8","7.2","6.6","6.2","5.9","5.6","5.4","5.2","5.1","4.9","4.7","4.6","4.5","4.4","4.3","4.2","4.1","4","3.9","3.9","3.8","3.8","3.7","3.7","3.8","3.8","3.8","3.8","",
"Benin","BEN","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","196.5","193.6","190.4","187.2","183.9","180.9","177.7","174.5","171.7","168.6","165.8","162.8","159.9","156.8","153.8","150.6","147.4","144.2","141.3","138.6","135.9","133.4","130.8","128.3","125.8","123.4","120.9","118.4","115.9","113.6","111.3","109","106.7","104.3","102.2","100","98.1","96.2","94.3","92.7","91.1","89.4","87.6","85.7","83.9","82.3","80.8","79.3","78.1","76.9","75.7","74.5","73.3","72","70.7","69.5","68.1","66.8","65.3","63.8","62.2","60.7","",
"Burkina Faso","BFA","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","167.4","165.7","164.1","162.7","161.4","160.2","159","158","157","155.9","154.6","153","151","148.2","144.9","141.1","136.9","132.8","129.1","125.8","122.8","120.4","118.2","116.2","114.2","112.5","110.8","109.2","108","106.9","106.2","105.8","105.5","105.2","104.7","103.9","102.9","101.6","100.3","98.9","97.3","95.7","93.9","91.8","89.5","86.9","84.1","81.2","78.4","75.9","73.7","71.7","69.9","68.2","66.5","64.9","63.3","61.9","60.4","59","57.7","56.4","",
"Bangladesh","BGD","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","187.6","183.2","179","175.3","172.1","169.4","167.3","165.7","164.6","163.9","180.5","222.9","162.7","162.2","161.2","159.9","157.8","155.4","152.5","149.4","146.2","142.8","139.3","135.8","132.2","128.5","124.9","121","116.8","112.7","108.5","104.3","99.9","95.5","91.2","87.2","83.2","79","75","71.2","67.5","64","61","58.1","55.4","52.9","50.5","48.1","45.9","43.8","41.7","39.8","38","36.3","34.7","33.1","31.5","30","28.5","27.1","25.8","24.5","",
"Bulgaria","BGR","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","49.3","43.8","39.8","37","35.2","34.4","34.3","34.2","33.5","32.2","30.8","29.6","28.8","28.2","27.7","27.2","26.7","25.8","24.6","23.2","22","21.1","20.2","19.4","18.6","17.7","16.7","16","15.8","16","16.4","16.9","17.2","17.3","17.1","17.2","17.5","17.6","17.3","16.6","15.9","15.3","14.6","13.9","13.1","12.2","11.4","10.8","10.5","10.3","10.1","9.7","9.1","8.6","8","7.5","7.1","6.7","6.4","6.1","5.9","5.7","",
"Bahrain","BHR","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","136.1","125.5","116.1","107.2","98.7","90.9","83.5","76.7","70.3","64.4","59.1","54.2","49.8","45.8","42.3","39.1","36.3","33.8","31.6","29.6","27.9","26.3","25","23.8","22.8","21.9","21.1","20.6","20.3","20.1","19.9","19.6","19.1","18.3","17.2","15.9","14.6","13.4","12.4","11.6","11","10.6","10.3","10","9.7","9.4","9.1","8.7","8.3","7.9","7.5","7.2","7","6.8","6.6","6.5","6.5","6.4","6.4","6.3","6.3","6.2","",
"Bahamas, The","BHS","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","26.2","26.7","27.1","27.5","27.9","28.1","28.2","28.1","27.9","27.6","27.2","26.8","26.4","26.1","25.8","25.6","25.4","25.1","24.7","24.1","23.3","22.4","21.5","20.5","19.6","18.7","17.8","17","16.2","15.6","15.2","15","14.9","15","15.2","15.4","15.5","15.5","15.4","15.2","14.9","14.6","14.2","13.9","13.6","13.3","13.1","12.9","12.8","12.6","12.6","16.2","12.4","12.3","",
"Bosnia and Herzegovina","BIH","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","28.9","26.6","24.4","22.5","20.7","19.2","17.8","16.5","23.2","22.4","18.4","13.1","12","11.3","10.7","10.1","9.7","9.3","9.1","8.9","8.8","8.6","8.4","8","7.6","7.3","6.9","6.6","6.4","6.2","6.1","5.9","5.9","5.8","5.7","5.6","5.4","5.3","",
"Belarus","BLR","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","","","","","19.8","19","18.2","17.5","16.9","16.3","15.8","15.2","14.7","14.2","14","13.9","14","14.1","14.2","14.2","14.1","13.7","13.1","12.3","11.4","10.5","9.7","9","8.3","7.7","7","6.3","5.7","5.2","4.8","4.4","4.1","3.9","3.7","3.5","3.2","3","2.8","2.6","2.4","2.3","",
"Belize","BLZ","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","85.1","82","79.1","76.3","73.5","71","68.5","66.2","64","61.9","60","58","56.2","54.4","52.5","50.7","48.9","46.9","44.9","42.8","40.7","38.6","36.5","34.5","32.7","30.9","29.3","27.9","26.7","25.6","24.6","23.7","22.9","22.1","21.4","20.8","20.3","19.9","19.6","19.2","18.9","18.5","18.2","17.7","17.1","16.5","15.9","15.1","14.4","13.6","12.9","12.2","11.5","11","10.5","",
"Bermuda","BMU","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","191.6","188.1","184.8","181.6","178.2","175","171.7","168.3","164.9","161.5","158","154.2","150.3","146.5","142.6","138.6","134.7","131","127.4","124","120.8","117.8","114.7","111.8","108.7","105.6","102.7","99.7","96.6","93.5","90.4","87.4","84.3","81.2","78.2","75.2","72.3","69.3","66.3","63.3","60.3","57.5","54.8","52.1","49.5","47.1","44.7","42.4","40.2","38.2","36.3","34.5","32.7","31","29.5","28.1","26.9","25.8","24.8","23.8","23","22.2","",
"Brazil","BRA","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","140.3","137.1","134","131.1","128.3","125.6","123.1","120.8","118.5","116","113.4","110.8","108.2","105.6","102.8","100.1","97.2","94.3","91.2","87.8","84.4","81.1","77.7","74.5","71.7","69.1","66.6","64.4","62.2","60.1","58","55.7","53.3","50.8","48.1","45.4","42.8","40.4","38.1","35.9","33.8","31.7","29.8","28","26.2","24.5","23","21.7","20.5","19.5","18.6","17.8","17.1","16.6","16.2","15.8","16.7","15.3","15.1","14.8","14.6","14.3","",
"Barbados","BRB","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","75.6","70.5","66.2","62.4","59","56","53.3","51","49","46.9","44.8","42.7","40.7","38.6","36.6","34.6","32.6","30.8","29","27.3","25.8","24.5","23.5","22.6","21.9","21.2","20.5","19.9","19.2","18.4","17.6","16.9","16.2","15.6","15.1","14.7","14.5","14.4","14.4","14.5","14.7","14.9","15.1","15.3","15.4","15.4","15.3","15.2","15.1","15","14.9","14.8","14.7","14.5","14.3","14.1","13.8","13.4","13.1","12.7","12.3","12","",
