"Data Source","World Development Indicators","Last Updated Date","2023-10-26",
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","71.537046","72.324021","72.795747","73.475921","73.750532","74.178315","74.928096","75.53621","76.150514","76.872356","77.559107","78.188884","79.389007","80.4374","81.046821","81.583104","81.768488","81.921606","82.050877","82.242029","82.365429","83.035225","83.327866","83.613943","83.82331","84.102829","84.23867","84.229298","84.24497","84.314742","84.405175","84.367982","84.442197","84.520353","84.59563","84.767531","84.856665","84.829505","84.900856","85.060887","85.125912","85.198948","85.325168","85.301907","85.267086","85.434331","85.431315","85.363252","85.977124","86.527675","87.981942","88.038063","88.081461","88.374219","88.272603","88.398779","88.316514","88.720346","88.851646","89.079338","88.536413","86.845804","",
"Africa Eastern and Southern","AFE","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","38.5819809829384","39.1622429654866","39.6175996869201","39.9892055892767","40.8403414139622","40.8836059944779","40.4294278416167","41.4430736697088","41.9078598784892","42.3010991226964","42.7310181411893","43.5887397177868","43.1315057525888","44.1681498420717","44.0724294331828","44.1970174725937","45.1971079292587","45.7640591083576","46.1382801757349","46.7848498031293","47.331824040768","48.1954684813472","48.5057542636057","46.2913262273968","46.3361184291847","46.6716562831975","47.5030446206923","47.9906034112712","47.1055978045723","48.2780856163237","48.074775657433","47.5315787339511","46.7309001823346","46.9029207390087","47.4249443210275","47.1156972102278","46.3911799284986","46.1737503596677","45.2393608623395","46.0228702757855","46.146848601206","45.93219185438","46.153865505475","46.4770967197217","47.0530223085213","48.0572553474788","49.5668992218345","50.9249044424132","52.3040265906891","54.1232839025745","55.6938430111044","57.4622606967128","58.9983471928389","60.4215135808725","61.7194590894025","62.7171857361518","63.9231528435543","64.7199308828861","65.686594864808","66.4221610493708","65.4587623475162","63.7222792665527","",
"Afghanistan","AFG","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","21.190631","21.819029","22.397017","22.973204","23.546267","24.103442","24.752287","25.357858","25.990229","26.609436","27.291861","27.971612","28.682141","29.412834","30.119075","30.81302","31.518061","32.250609","31.569555","30.610007","31.3726","32.13552","29.783047","30.499164","25.326485","25.718862","32.480643","33.184889","37.945847","39.463644","40.567806","41.661601","43.356983","47.185992","48.310798","49.142429","50.23225","50.73025","49.985859","52.486077","53.334998","54.083719","54.554813","56.130087","57.009717","57.754769","58.592334","59.628489","60.623706","61.219357","62.041411","62.975062","63.811009","64.643019","65.042186","65.49806","66.349797","67.88252","68.448803","68.843426","65.799993","65.217377","",
"Africa Western and Central","AFW","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","31.1349205957416","31.5341362371822","31.8064185695609","32.2215357416376","32.6478574191807","32.9414741633359","33.1319771698831","33.0166407578036","33.855057491488","34.1042678171748","34.6802925260529","35.2489477475565","36.1875447261047","36.8951208438619","37.7809660692311","38.8299669920982","40.1289819106927","41.2792179938073","42.1464984584459","42.6328093357535","43.0964231335955","43.3273265700609","43.6284587412715","43.9711916929833","44.1083769919809","44.2497460048725","44.157639563783","44.6345005835615","44.9536263869301","45.2034954256785","45.2313149893214","45.0176801831078","45.0735065398793","45.1088434751028","44.5878201711341","44.63667751632","44.6749379676401","44.7544466594255","44.6350436506133","45.1468226949678","45.5763634181677","45.8342440396627","46.1984080301726","46.8479664206211","47.2330954705185","47.8960391570166","48.4498019814939","49.0131010285587","49.3483855300575","50.1844998472348","50.6916519149333","51.4505045912512","51.9415498342759","52.487580615618","52.8676520874753","53.2891250353749","53.6968574611892","54.314462143623","54.6745533578465","55.359270463618","54.5474175175742","53.6694136891353","",
"Angola","AGO","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","32.142304","32.218499","32.587479","32.84586","33.228582","33.765418","34.00323","34.449058","35.060406","35.457565","35.946","36.282797","36.604627","37.174003","37.671715","37.108152","37.072431","37.360038","37.870771","38.338918","38.642728","38.946582","39.294981","38.003267","38.421602","38.687375","38.805982","36.756475","37.415064","37.669319","37.860393","40.069294","37.978609","39.489032","40.954632","41.676635","41.785755","42.231756","41.054907","42.162077","42.199881","43.697438","43.958905","46.592696","47.957454","49.252335","50.397687","52.275717","53.362107","55.220367","56.778003","57.870249","59.682945","60.534332","61.723907","62.671834","63.00739","63.949981","65.186505","65.323119","65.265071","63.523185","",
"Albania","ALB","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","60.688491","62.302198","63.436297","64.974323","66.412907","67.850618","69.222053","70.38299","71.702518","72.970069","74.07526","75.116303","76.183752","76.989433","77.774727","78.52461","78.991389","79.562693","79.890156","80.278776","81.801749","82.289907","82.853298","83.309679","83.648102","83.847349","84.274978","84.818046","85.334864","85.673224","86.08986","86.337436","86.728729","86.927155","87.098379","87.414295","87.68735","86.950607","88.034345","88.244531","88.478474","88.702437","88.931823","89.207822","89.429396","89.720696","89.951919","90.489027","90.674431","90.78698","90.915722","91.017269","90.957096","91.074404","91.354952","91.512091","91.693973","91.825147","91.939293","91.975256","90.241719","89.363323","",
"Andorra","AND","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","82.229837","82.453704","82.941956","82.917258","84.090765","84.805037","84.942227","84.935957","85.29623","84.540354","86.331508","85.756972","87.140759","86.887623","87.36873","87.860324","88.211704","88.767997","89.030097","89.631213","90.139708","90.371764","90.947527","90.617231","91.162789","91.047651","91.262752","91.531098","91.552132","91.697751","92.412711","91.738043","92.122628","91.700676","93.139551","91.691309","92.823855","92.552211","92.929821","93.145765","92.52451","94.619985","93.841057","95.539304","90.956584","93.363595","93.879309","94.649185","94.649185","94.641899","94.641899","94.641899","94.641899","94.641899","94.641899","94.634604","94.634604","94.634604","94.634604","94.634604","91.74041","92.802338","",
"Arab World","ARB","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","42.7645488961492","43.6743286366715","44.289812441845","45.1827360665373","46.4052516925367","46.7381146245974","46.9914271264896","47.6359034487348","48.1839466028376","48.6921611255852","49.3478234958912","50.6742325092463","51.3658604389736","52.4383960690462","53.2513297898297","54.1116990336513","54.2775545391336","56.0473705175811","57.106971636757","58.1143045862704","59.2263270215789","59.9674368159173","60.6087631003867","61.8141128096764","62.7736067076253","63.7865086758988","65.4575470661978","65.3087384438869","64.8935627929129","66.9647572227053","67.6741250403392","68.0128572608871","68.4089299269134","69.7154583493205","71.0863714001021","71.11611920838","71.5936991489054","72.0444323073247","71.7824990142382","73.2112677145347","74.0375206184421","74.5483203214259","75.0387443100925","75.0788421311483","75.321027250256","75.8120436585282","76.5204870961597","77.1010784723101","77.4189307144285","78.0689213184307","78.444367995967","78.80251278459","78.8165930650256","78.961982800965","79.5163697054201","79.7420717508722","80.312866153967","81.1077256158702","81.2741112175783","81.4158910809732","80.0364034745762","79.6964007117313","",
"United Arab Emirates","ARE","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","48.933758","49.792275","51.094185","52.198613","53.741084","55.262177","57.136663","58.905044","60.492493","62.465145","64.45173","66.310155","67.47658","69.620565","70.657388","71.813008","72.957323","73.987121","75.114673","76.114779","77.190071","77.490363","78.392591","78.621785","79.475859","79.659661","79.676409","80.993558","81.048056","81.126445","81.200474","81.241185","81.04108","82.012143","82.009085","81.954316","81.198408","81.478382","81.666435","82.660666","83.458527","84.16041","84.805874","87.104331","87.543677","87.96259","88.378281","88.755572","89.115078","89.459246","89.782162","90.083935","90.37834","90.668961","90.94833","91.219275","91.467882","91.736932","91.929217","92.063898","91.452671","91.392679","",
"Argentina","ARG","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","71.102957","71.770046","71.73821","72.145643","72.074676","72.451119","72.878862","73.236889","73.274821","73.254139","74.303132","73.907298","74.555549","75.227529","75.820255","76.612458","76.923334","77.926399","78.068684","78.407583","78.372363","79.151022","79.023085","79.227902","79.082242","79.180086","79.678327","80.136924","80.598524","81.022233","81.265689","82.095527","82.13941","82.360993","82.435609","82.627283","82.786052","82.785325","83.105755","83.346809","83.594111","84.005251","84.557491","83.555312","84.54694","85.035419","85.245892","85.017297","85.503738","85.687583","85.455765","86.043442","86.783177","86.836919","87.020073","87.294176","86.855301","87.388787","87.744382","88.20058","85.499563","85.105289","",
