"Data Source","World Development Indicators","Last Updated Date","2023-10-26",
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Survival to age 65, male (% of cohort)","SP.DYN.TO65.MA.ZS","54.919698","55.414744","55.563511","56.224539","56.402627","56.614317","57.958859","58.660912","59.11374","59.811138","60.543183","61.223836","62.093481","62.754028","63.496635","63.740692","64.444003","65.031022","65.654118","66.415747","67.282971","68.866432","69.350808","69.549391","69.844842","70.04726","70.232967","71.492057","72.475624","72.392042","72.510388","72.599045","72.680387","72.781917","72.892806","72.991815","73.272757","73.380778","73.496303","73.610142","73.629297","73.873112","74.045928","74.217495","73.668829","74.32196","75.135776","75.947768","74.988569","75.809666","76.782576","77.078281","77.413382","77.564052","77.852705","78.18072","78.313225","78.85099","79.37593","79.775203","79.239306","77.12472","",
"Africa Eastern and Southern","AFE","Survival to age 65, male (% of cohort)","SP.DYN.TO65.MA.ZS","32.590237035921","32.711359286446","33.1634684296302","33.0604784219901","33.7516846686222","33.6200186596838","33.3803648746716","34.195588139364","34.5980787331784","34.8261837289903","35.2153642114817","35.7480230245022","35.3629277036161","36.7413928700105","36.6320388676884","36.8928066220142","37.4485242011411","37.7486220446051","37.7060877891591","38.5595353325633","39.175028723293","39.7292658924952","39.9204926540776","37.646577208892","37.0690062153401","37.4272040870344","38.0711919354451","38.1690811983218","37.0276015844122","38.6938734718513","38.2293199243443","37.9899460514945","37.1109184558261","37.1422194826372","38.7194240120176","38.2702917115643","37.6665874265424","37.8355557639039","36.2192268535091","37.4556616276034","39.1550337403623","39.3648487116762","39.6535883773138","40.2909986549695","40.9435816519045","41.825815655752","43.2272194894864","44.2766367260433","45.246604748739","46.5146903803033","47.7471575086645","49.0272963931736","50.2310741099059","51.1221538715457","52.0738796590282","52.8958267368995","53.8081795803943","54.7232483063452","55.3666108823847","56.1341615596564","54.6667758233169","52.2766641396127","",
"Afghanistan","AFG","Survival to age 65, male (% of cohort)","SP.DYN.TO65.MA.ZS","17.743034","18.350272","18.878496","19.3959","19.941843","20.46736","21.023513","21.555966","22.124751","22.709707","23.290642","23.874533","24.493856","25.193102","25.889078","26.600091","27.298929","28.07586","25.404897","22.464494","23.028199","23.616633","18.688441","18.944293","11.142771","11.107874","19.620928","19.939093","27.260803","29.186547","30.315712","31.18657","32.042283","40.988076","39.335989","41.994995","43.056344","43.69259","41.620708","45.660509","46.116872","46.891548","48.554162","49.85824","50.875379","51.383972","51.391496","51.544782","52.973162","54.119459","54.841702","55.718273","56.515048","57.291739","57.223704","56.993402","57.685135","55.147806","54.647829","55.972735","53.562234","51.520426","",
"Africa Western and Central","AFW","Survival to age 65, male (% of cohort)","SP.DYN.TO65.MA.ZS","25.9663342098113","26.3490350150592","27.5875422896795","27.904622064495","28.1279267058371","28.5799357154116","28.8382103629509","27.5412774384852","28.532074228812","28.9280310735001","30.4211668342611","31.1566334315845","32.0838937646667","32.9448398551049","33.758694951279","34.6322366438035","35.6449606425123","36.5007341663661","37.0558281749947","37.4950403458189","37.8216562962579","38.2083661760839","38.4095248952916","38.7440723058708","38.8938847837126","38.8528606093235","38.8578825761283","38.8501342633865","39.3119618384279","39.5133118125003","39.1425059376242","39.1192269307897","39.0934870966788","39.1958858969703","38.8291762761121","38.8479956841493","38.890853591703","39.0507713457572","39.5588341749062","40.0974456146714","40.8516690604326","41.2735350295841","41.6608956117205","42.2342206295494","42.8128943782619","43.5432429607032","44.2981515271739","44.8339077370561","45.5111505117334","46.2369062188497","46.8265727935137","47.4826051415967","47.9264881546946","48.3667993737213","48.6826582437792","49.0360957757207","49.8270032481072","50.0998441079136","50.5673894836844","50.9863260031425","49.3462768950432","48.5314507614559","",
"Angola","AGO","Survival to age 65, male (% of cohort)","SP.DYN.TO65.MA.ZS","26.9565","23.249849","23.447207","23.74028","24.008469","24.376425","24.547575","24.869828","25.259963","25.629979","25.991752","26.440951","26.834028","27.14438","27.587028","26.318329","25.972617","26.203048","26.769737","27.228106","27.555676","28.088571","28.385339","26.301326","26.568109","27.054677","27.371311","23.415949","24.596664","24.976455","25.1438","29.016012","26.04318","23.925695","26.516661","34.131985","34.47609","34.715028","31.392628","30.729715","32.511353","32.265519","34.18891","38.358926","39.620626","40.85672","41.551956","43.25483","44.636624","45.946454","46.986003","48.157946","49.37411","50.236514","51.161812","52.005843","52.774308","53.741529","53.916247","54.494128","53.166326","51.280449","",
"Albania","ALB","Survival to age 65, male (% of cohort)","SP.DYN.TO65.MA.ZS","50.956828","52.607515","54.164759","55.822128","57.480844","58.794082","59.996434","61.428814","62.713662","64.072628","65.368712","66.405203","67.473724","68.607315","69.530519","70.297534","70.845398","71.449863","71.623892","72.01422","73.093043","73.319814","73.571564","73.886788","74.139199","74.340631","74.793596","75.349705","75.590302","75.897293","76.175504","76.577812","77.092514","77.544962","77.911718","78.26795","78.641264","76.768631","79.451654","79.768604","80.135436","80.533022","80.955791","81.334282","81.710231","82.009211","82.2343","83.361624","83.333917","83.416926","83.528756","83.691074","83.652918","83.707429","84.249494","84.678267","85.052413","85.44531","85.765544","86.047386","81.703058","80.5539","",
"Andorra","AND","Survival to age 65, male (% of cohort)","SP.DYN.TO65.MA.ZS","72.706863","72.787167","73.344498","72.688396","73.81802","75.01404","75.066281","74.870606","75.379375","74.260298","76.831864","75.708529","78.110795","77.471419","77.97667","78.220781","78.685579","79.45894","79.601236","80.388837","81.263814","81.481511","82.469062","82.038059","82.330844","82.163454","82.620774","82.763598","82.641356","82.401083","83.350883","82.975569","88.267307","84.763447","91.88938","85.576445","87.67299","89.21341","85.411069","89.355934","89.153498","88.549622","90.427572","91.600198","88.926096","90.024554","91.754124","90.404964","90.438857","90.483871","90.5175","90.551016","90.584419","90.617711","90.650891","90.683959","90.727878","90.760687","90.793387","90.825976","81.951861","84.126321","",
"Arab World","ARB","Survival to age 65, male (% of cohort)","SP.DYN.TO65.MA.ZS","34.5251179644573","35.3308950976242","35.7208394377452","37.0332976429634","38.3921767263908","38.6902451197515","38.6902512924462","39.0253353468178","39.7676855075511","40.0150778276907","40.677409913026","42.0664301754978","42.8741686732162","43.5612359030351","44.6334401499813","45.0214502843717","45.6877842009115","47.6996616325133","48.8225220686402","49.8641225858877","50.0483793800587","50.2433703310764","50.4697683398816","51.7433521173641","52.8436416091716","53.9828389617437","55.1744783592493","55.2729877683103","54.4657869579677","57.7500896462152","58.4028070885328","59.584292058038","60.2618446017748","61.5972852442078","63.2830519879142","62.8267738125198","63.530011348529","63.9022492881348","63.5690899665456","65.4903307165491","66.0391888822531","66.6541889773239","67.1212338195115","66.7517450479804","66.6619376778653","67.0585659644555","67.6928650359852","68.3718594642922","69.217284651029","70.2659645489352","70.7174189245601","71.0693527734573","70.7502785737276","70.6909958765153","71.2919543772122","71.921772541465","72.0142323624915","72.8559233520136","73.3397607548915","73.860838365647","71.8738556134215","71.5440421469634","",
"United Arab Emirates","ARE","Survival to age 65, male (% of cohort)","SP.DYN.TO65.MA.ZS","37.69675","38.847089","40.112341","41.208203","42.993391","44.56455","46.153061","47.661984","49.515715","51.434079","53.474143","55.457274","57.469515","58.942839","60.840243","61.907927","63.031936","64.057136","65.087571","66.051686","67.185401","68.281889","69.209514","69.505933","70.447644","70.759438","71.039422","71.955091","72.065722","72.299958","72.50951","73.418366","73.586652","73.676691","73.769711","73.9346","74.342947","74.68396","74.962304","76.4443","78.315918","78.769095","79.253489","82.30352","82.718888","83.124009","83.537774","83.894481","84.264598","84.630172","85.011336","85.366533","85.796482","86.078303","86.478801","86.8468","87.069259","87.357432","87.594783","87.806343","87.289418","87.185161","",
"Argentina","ARG","Survival to age 65, male (% of cohort)","SP.DYN.TO65.MA.ZS","57.034163","57.741279","57.176366","57.461645","57.025477","57.437747","58.026567","57.878336","57.170689","56.768777","58.324605","58.197","58.736508","59.294586","59.356658","60.236503","60.2162","61.295944","62.114182","62.594198","62.633408","63.056755","62.789635","63.561539","63.214879","64.641632","65.632227","66.57694","67.642546","68.320749","69.158979","69.875234","70.070412","70.132455","72.025781","71.554801","71.845695","71.008322","71.828462","72.273863","72.570527","72.83991","72.813219","72.931453","74.178875","74.448597","75.089476","74.045151","75.426685","76.122828","75.807744","76.340207","76.49646","76.625409","77.340021","77.188329","76.650249","77.726762","77.969309","78.412194","76.217396","76.225132","",
